,UID,RequestMode,WallTime,id,type,status,text,is_improved,dispatch_coord,WPT_1_type,WPT_1_name,WPT_2_type,WPT_2_name,RejoinType,RejoinWaypoint,EndpointLat,EndpointLon,SavingType,SavingsValue,SavingsUnits,FlightLevel
77,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582681.368795,16,SELECTED,SOLUTION,YKM,true,false,UNDEFINED,,UNDEFINED,,REJOIN,YKM,0.00000000,0.0000000000,Time,-5.122,sec,NA
78,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582686.393172,15,COMBO,FILTERED,FL320 / YKM,false,false,UNDEFINED,,UNDEFINED,,REJOIN,YKM,0.00000000,0.0000000000,Time,12.812,sec,320
79,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582686.393172,16,LATERAL,SOLUTION,YKM,true,false,UNDEFINED,,UNDEFINED,,REJOIN,YKM,0.00000000,0.0000000000,Time,-3.5667,sec,NA
80,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582686.393172,17,VERTICAL,FILTERED,FL320,false,false,UNDEFINED,,UNDEFINED,,UNDEFINED,,0.00000000,0.0000000000,Time,17.585,sec,320
81,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582697.833259,15,COMBO,FILTERED,FL320 / YKM,false,false,UNDEFINED,,UNDEFINED,,REJOIN,YKM,0.00000000,0.0000000000,Time,11.374,sec,320
82,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582697.833259,16,LATERAL,SOLUTION,YKM,true,false,UNDEFINED,,UNDEFINED,,REJOIN,YKM,0.00000000,0.0000000000,Time,-4.8817,sec,NA
83,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582697.833259,17,VERTICAL,FILTERED,FL320,false,false,UNDEFINED,,UNDEFINED,,UNDEFINED,,0.00000000,0.0000000000,Time,17.437,sec,320
84,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582697.854652,16,SELECTED,SOLUTION,YKM,true,false,UNDEFINED,,UNDEFINED,,REJOIN,YKM,0.00000000,0.0000000000,Time,-4.8817,sec,NA
85,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582709.550747,15,COMBO,FILTERED,FL320 / YKM,false,false,UNDEFINED,,UNDEFINED,,REJOIN,YKM,0.00000000,0.0000000000,Time,10.983,sec,320
86,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582709.550747,16,LATERAL,SOLUTION,YKM,true,false,UNDEFINED,,UNDEFINED,,REJOIN,YKM,0.00000000,0.0000000000,Time,-5.1193,sec,NA
